H1	H2
ScomH1c01g0001734	ScomH2c01g0001716
ScomH1c01g0001735	ScomH2c01g0001717
ScomH1c01g0001736	ScomH2c01g0001718
ScomH1c01g0001737	ScomH2c01g0001719
ScomH1c01g0001738	ScomH2c01g0001720
ScomH1c01g0001739	ScomH2c01g0001721
ScomH1c01g0001742	ScomH2c01g0001724
ScomH1c01g0001743	ScomH2c01g0001725
ScomH1c01g0001744	ScomH2c01g0001726
ScomH1c01g0001749	ScomH2c01g0001731
ScomH1c01g0001752	ScomH2c01g0001733
ScomH1c01g0001753	ScomH2c01g0001734
ScomH1c01g0001757	ScomH2c01g0001738
ScomH1c01g0001758	ScomH2c01g0001739
ScomH1c01g0001761	ScomH2c01g0001741
ScomH1c01g0001763	ScomH2c01g0001743
ScomH1c01g0001768	ScomH2c01g0001751
ScomH1c01g0001769	ScomH2c01g0001752
ScomH1c01g0001770	ScomH2c01g0001753
ScomH1c01g0001771	ScomH2c01g0001754
ScomH1c01g0001772	ScomH2c01g0001755
ScomH1c01g0001773	ScomH2c01g0001756
ScomH1c01g0001775	ScomH2c01g0001758
ScomH1c01g0001777	ScomH2c01g0001760
ScomH1c01g0001778	ScomH2c01g0001761
ScomH1c01g0001779	ScomH2c01g0001762
ScomH1c01g0001780	ScomH2c01g0001763
ScomH1c01g0001781	ScomH2c01g0001764
ScomH1c01g0001782	ScomH2c01g0001765
ScomH1c01g0001783	ScomH2c01g0001766
ScomH1c01g0001784	ScomH2c01g0001767
ScomH1c01g0001785	ScomH2c01g0001768
ScomH1c01g0001788	ScomH2c01g0001770
ScomH1c01g0001789	ScomH2c01g0001771
ScomH1c01g0001790	ScomH2c01g0001772
ScomH1c01g0001791	ScomH2c01g0001773
ScomH1c01g0001792	ScomH2c01g0001774
ScomH1c01g0001794	ScomH2c01g0001776
ScomH1c01g0001795	ScomH2c01g0001777
ScomH1c01g0001796	ScomH2c01g0001778
ScomH1c01g0001798	ScomH2c01g0001780
ScomH1c01g0001797	ScomH2c01g0001779
ScomH1c01g0001799	ScomH2c01g0001781
ScomH1c01g0001800	ScomH2c01g0001782
ScomH1c01g0001801	ScomH2c01g0001783
ScomH1c01g0001802	ScomH2c01g0001784
ScomH1c01g0001804	ScomH2c01g0001788
ScomH1c01g0001805	ScomH2c01g0001790
ScomH1c01g0001806	ScomH2c01g0001791
ScomH1c01g0001807	ScomH2c01g0001792
ScomH1c01g0001808	ScomH2c01g0001793
ScomH1c01g0001809	ScomH2c01g0001794
ScomH1c01g0001811	ScomH2c01g0001797
ScomH1c01g0001812	ScomH2c01g0001798
ScomH1c01g0001813	ScomH2c01g0001799
ScomH1c01g0001814	ScomH2c01g0001800
ScomH1c01g0001816	ScomH2c01g0001801
ScomH1c01g0001818	ScomH2c01g0001803
ScomH1c01g0001820	ScomH2c01g0001806
ScomH1c01g0001821	ScomH2c01g0001807
ScomH1c01g0001824	ScomH2c01g0001809
ScomH1c01g0001825	ScomH2c01g0001810
ScomH1c01g0001827	ScomH2c01g0001811
ScomH1c01g0001828	ScomH2c01g0001812
ScomH1c01g0001829	ScomH2c01g0001813
ScomH1c01g0001830	ScomH2c01g0001814
ScomH1c01g0001831	ScomH2c01g0001815
ScomH1c01g0001834	ScomH2c01g0001817
ScomH1c01g0001835	ScomH2c01g0001818
ScomH1c01g0001836	ScomH2c01g0001819
ScomH1c01g0001837	ScomH2c01g0001823
ScomH1c01g0001838	ScomH2c01g0001825
ScomH1c01g0001841	ScomH2c01g0001827
ScomH1c01g0001842	ScomH2c01g0001828
ScomH1c01g0001843	ScomH2c01g0001829
ScomH1c01g0001844	ScomH2c01g0001830
ScomH1c01g0001847	ScomH2c01g0001831
ScomH1c01g0001848	ScomH2c01g0001832
ScomH1c01g0001849	ScomH2c01g0001833
ScomH1c01g0001850	ScomH2c01g0001834
ScomH1c01g0001851	ScomH2c01g0001835
ScomH1c01g0001852	ScomH2c01g0001836
ScomH1c01g0001854	ScomH2c01g0001838
ScomH1c01g0001856	ScomH2c01g0001839
ScomH1c01g0001857	ScomH2c01g0001840
ScomH1c01g0001858	ScomH2c01g0001841
ScomH1c01g0001859	ScomH2c01g0001842
ScomH1c01g0001860	ScomH2c01g0001843
ScomH1c01g0001861	ScomH2c01g0001844
ScomH1c01g0001862	ScomH2c01g0001845
ScomH1c01g0001863	ScomH2c01g0001846
ScomH1c01g0001864	ScomH2c01g0001847
ScomH1c01g0001865	ScomH2c01g0001848
ScomH1c01g0001866	ScomH2c01g0001849
ScomH1c01g0001867	ScomH2c01g0001850
ScomH1c01g0001869	ScomH2c01g0001853
ScomH1c01g0001870	ScomH2c01g0001854
ScomH1c01g0001871	ScomH2c01g0001855
ScomH1c01g0001872	ScomH2c01g0001856
ScomH1c01g0001876	ScomH2c01g0001857
ScomH1c01g0001877	ScomH2c01g0001858
ScomH1c01g0001878	ScomH2c01g0001859
ScomH1c01g0001879	ScomH2c01g0001860
ScomH1c01g0001882	ScomH2c01g0001862
ScomH1c01g0001883	ScomH2c01g0001863
ScomH1c01g0001886	ScomH2c01g0001866
ScomH1c01g0001887	ScomH2c01g0001867
ScomH1c01g0001889	ScomH2c01g0001869
ScomH1c01g0001890	ScomH2c01g0001870
ScomH1c01g0001891	ScomH2c01g0001871
ScomH1c01g0001892	ScomH2c01g0001872
ScomH1c01g0001893	ScomH2c01g0001873
ScomH1c01g0001894	ScomH2c01g0001874
ScomH1c01g0001896	ScomH2c01g0001879
ScomH1c01g0001897	ScomH2c01g0001880
ScomH1c01g0001898	ScomH2c01g0001881
ScomH1c01g0001899	ScomH2c01g0001882
ScomH1c01g0001900	ScomH2c01g0001883
ScomH1c01g0001901	ScomH2c01g0001884
ScomH1c01g0001903	ScomH2c01g0001886
ScomH1c01g0001907	ScomH2c01g0001889
ScomH1c01g0001910	ScomH2c01g0001891
ScomH1c01g0001913	ScomH2c01g0001893
ScomH1c01g0001914	ScomH2c01g0001894
ScomH1c01g0001915	ScomH2c01g0001895
ScomH1c01g0001916	ScomH2c01g0001896
ScomH1c01g0001917	ScomH2c01g0001897
ScomH1c01g0001918	ScomH2c01g0001898
ScomH1c01g0001921	ScomH2c01g0001901
ScomH1c01g0001922	ScomH2c01g0001902
ScomH1c01g0001928	ScomH2c01g0001908
ScomH1c01g0001929	ScomH2c01g0001909
ScomH1c01g0001930	ScomH2c01g0001910
ScomH1c01g0001931	ScomH2c01g0001912
ScomH1c01g0001933	ScomH2c01g0001914
ScomH1c01g0001935	ScomH2c01g0001916
ScomH1c01g0001937	ScomH2c01g0001918
ScomH1c01g0001940	ScomH2c01g0001920
ScomH1c01g0001941	ScomH2c01g0001921
ScomH1c01g0001946	ScomH2c01g0001924
ScomH1c01g0001947	ScomH2c01g0001926
ScomH1c01g0001948	ScomH2c01g0001927
ScomH1c01g0001949	ScomH2c01g0001928
ScomH1c01g0001952	ScomH2c01g0001930
ScomH1c01g0001953	ScomH2c01g0001931
ScomH1c01g0001954	ScomH2c01g0001932
ScomH1c01g0001955	ScomH2c01g0001933
ScomH1c01g0001956	ScomH2c01g0001934
ScomH1c01g0001957	ScomH2c01g0001935
ScomH1c01g0001958	ScomH2c01g0001936
ScomH1c01g0001961	ScomH2c01g0001937
ScomH1c01g0001962	ScomH2c01g0001938
ScomH1c01g0001963	ScomH2c01g0001939
ScomH1c01g0001965	ScomH2c01g0001941
ScomH1c01g0001966	ScomH2c01g0001942
ScomH1c01g0001967	ScomH2c01g0001943
ScomH1c01g0001969	ScomH2c01g0001945
ScomH1c01g0001970	ScomH2c01g0001946
ScomH1c01g0001971	ScomH2c01g0001947
ScomH1c01g0001972	ScomH2c01g0001948
ScomH1c01g0001974	ScomH2c01g0001949
ScomH1c01g0001976	ScomH2c01g0001952
ScomH1c01g0001977	ScomH2c01g0001953
ScomH1c01g0001978	ScomH2c01g0001954
ScomH1c01g0001979	ScomH2c01g0001955
ScomH1c01g0001980	ScomH2c01g0001956
ScomH1c01g0001981	ScomH2c01g0001957
ScomH1c01g0001982	ScomH2c01g0001958
ScomH1c01g0001983	ScomH2c01g0001959
ScomH1c01g0001984	ScomH2c01g0001960
ScomH1c01g0001985	ScomH2c01g0001961
ScomH1c01g0001986	ScomH2c01g0001963
ScomH1c01g0001987	ScomH2c01g0001964
ScomH1c01g0001988	ScomH2c01g0001965
ScomH1c01g0001989	ScomH2c01g0001966
ScomH1c01g0001991	ScomH2c01g0001968
ScomH1c01g0001992	ScomH2c01g0001969
ScomH1c01g0001993	ScomH2c01g0001970
ScomH1c01g0001994	ScomH2c01g0001971
ScomH1c01g0001995	ScomH2c01g0001972
ScomH1c01g0001996	ScomH2c01g0001973
ScomH1c01g0001997	ScomH2c01g0001974
ScomH1c01g0001998	ScomH2c01g0001978
ScomH1c01g0001999	ScomH2c01g0001979
ScomH1c01g0002000	ScomH2c01g0001980
ScomH1c01g0002001	ScomH2c01g0001981
ScomH1c01g0002002	ScomH2c01g0001982
ScomH1c01g0002003	ScomH2c01g0001983
ScomH1c01g0002005	ScomH2c01g0001986
ScomH1c01g0002006	ScomH2c01g0001987
ScomH1c01g0002007	ScomH2c01g0001988
ScomH1c01g0002008	ScomH2c01g0001989
ScomH1c01g0002010	ScomH2c01g0001992
ScomH1c01g0002011	ScomH2c01g0001993
ScomH1c01g0002013	ScomH2c01g0001998
ScomH1c01g0002014	ScomH2c01g0001999
ScomH1c01g0002015	ScomH2c01g0002000
ScomH1c01g0002016	ScomH2c01g0002001
ScomH1c01g0002017	ScomH2c01g0002002
ScomH1c01g0002019	ScomH2c01g0002003
ScomH1c01g0002020	ScomH2c01g0002004
ScomH1c01g0002021	ScomH2c01g0002005
ScomH1c01g0002022	ScomH2c01g0002006
ScomH1c01g0002023	ScomH2c01g0002007
ScomH1c01g0002024	ScomH2c01g0002008
ScomH1c01g0002026	ScomH2c01g0002010
ScomH1c01g0002027	ScomH2c01g0002011
ScomH1c01g0002028	ScomH2c01g0002012
ScomH1c01g0002029	ScomH2c01g0002013
ScomH1c01g0002032	ScomH2c01g0002014
ScomH1c01g0002033	ScomH2c01g0002015
ScomH1c01g0002034	ScomH2c01g0002016
ScomH1c01g0002035	ScomH2c01g0002017
ScomH1c01g0002037	ScomH2c01g0002019
ScomH1c01g0002038	ScomH2c01g0002020
ScomH1c01g0002039	ScomH2c01g0002021
ScomH1c01g0002040	ScomH2c01g0002022
ScomH1c01g0002041	ScomH2c01g0002023
ScomH1c01g0002042	ScomH2c01g0002024
ScomH1c01g0002044	ScomH2c01g0002026
ScomH1c01g0002046	ScomH2c01g0002028
ScomH1c01g0002047	ScomH2c01g0002029
ScomH1c01g0002048	ScomH2c01g0002030
ScomH1c01g0002052	ScomH2c01g0002032
ScomH1c01g0002056	ScomH2c01g0002033
ScomH1c01g0002059	ScomH2c01g0002035
ScomH1c01g0002060	ScomH2c01g0002036
ScomH1c01g0002065	ScomH2c01g0002039
ScomH1c01g0002066	ScomH2c01g0002040
ScomH1c01g0002067	ScomH2c01g0002041
ScomH1c01g0002068	ScomH2c01g0002042
ScomH1c01g0002069	ScomH2c01g0002043
ScomH1c01g0002070	ScomH2c01g0002044
ScomH1c01g0002071	ScomH2c01g0002045
ScomH1c01g0002072	ScomH2c01g0002046
ScomH1c01g0002073	ScomH2c01g0002047
ScomH1c01g0002074	ScomH2c01g0002048
ScomH1c01g0002075	ScomH2c01g0002049
ScomH1c01g0002076	ScomH2c01g0002050
ScomH1c01g0002077	ScomH2c01g0002051
ScomH1c01g0002078	ScomH2c01g0002052
ScomH1c01g0002079	ScomH2c01g0002053
ScomH1c01g0002080	ScomH2c01g0002054
ScomH1c01g0002081	ScomH2c01g0002055
ScomH1c01g0002083	ScomH2c01g0002057
ScomH1c01g0002084	ScomH2c01g0002058
ScomH1c01g0002085	ScomH2c01g0002059
ScomH1c01g0002086	ScomH2c01g0002060
ScomH1c01g0002087	ScomH2c01g0002061
ScomH1c01g0002088	ScomH2c01g0002063
ScomH1c01g0002089	ScomH2c01g0002064
ScomH1c01g0002090	ScomH2c01g0002065
ScomH1c01g0002093	ScomH2c01g0002067
ScomH1c01g0002094	ScomH2c01g0002068
ScomH1c01g0002096	ScomH2c01g0002070
ScomH1c01g0002097	ScomH2c01g0002071
ScomH1c01g0002098	ScomH2c01g0002072
ScomH1c01g0002099	ScomH2c01g0002073
ScomH1c01g0002102	ScomH2c01g0002076
ScomH1c01g0002103	ScomH2c01g0002077
ScomH1c01g0002105	ScomH2c01g0002079
ScomH1c01g0002106	ScomH2c01g0002081
ScomH1c01g0002107	ScomH2c01g0002082
ScomH1c01g0002108	ScomH2c01g0002083
ScomH1c01g0002109	ScomH2c01g0002085
ScomH1c01g0002110	ScomH2c01g0002086
ScomH1c01g0002111	ScomH2c01g0002088
ScomH1c01g0002112	ScomH2c01g0002089
ScomH1c01g0002114	ScomH2c01g0002091
ScomH1c01g0002115	ScomH2c01g0002092
ScomH1c01g0002118	ScomH2c01g0002095
ScomH1c01g0002119	ScomH2c01g0002096
ScomH1c01g0002120	ScomH2c01g0002097
ScomH1c01g0002121	ScomH2c01g0002098
ScomH1c01g0002123	ScomH2c01g0002100
ScomH1c01g0002125	ScomH2c01g0002102
ScomH1c01g0002126	ScomH2c01g0002103
ScomH1c01g0002127	ScomH2c01g0002104
ScomH1c01g0002129	ScomH2c01g0002106
ScomH1c01g0002130	ScomH2c01g0002107
ScomH1c01g0002132	ScomH2c01g0002109
ScomH1c01g0002133	ScomH2c01g0002110
ScomH1c01g0002134	ScomH2c01g0002111
ScomH1c01g0002137	ScomH2c01g0002112
ScomH1c01g0002138	ScomH2c01g0002113
ScomH1c01g0002139	ScomH2c01g0002114
ScomH1c01g0002142	ScomH2c01g0002117
ScomH1c01g0002143	ScomH2c01g0002118
ScomH1c01g0002144	ScomH2c01g0002119
ScomH1c01g0002145	ScomH2c01g0002120
ScomH1c01g0002146	ScomH2c01g0002121
ScomH1c01g0002150	ScomH2c01g0002125
ScomH1c01g0002151	ScomH2c01g0002126
ScomH1c01g0002152	ScomH2c01g0002127
ScomH1c01g0002153	ScomH2c01g0002128
ScomH1c01g0002155	ScomH2c01g0002129
ScomH1c01g0002157	ScomH2c01g0002131
ScomH1c01g0002158	ScomH2c01g0002132
ScomH1c01g0002159	ScomH2c01g0002137
ScomH1c01g0002160	ScomH2c01g0002138
ScomH1c01g0002161	ScomH2c01g0002139
ScomH1c01g0002162	ScomH2c01g0002140
ScomH1c01g0002163	ScomH2c01g0002141
ScomH1c01g0002164	ScomH2c01g0002142
ScomH1c01g0002165	ScomH2c01g0002143
ScomH1c01g0002166	ScomH2c01g0002144
ScomH1c01g0002167	ScomH2c01g0002146
ScomH1c01g0002170	ScomH2c01g0002148
ScomH1c01g0002171	ScomH2c01g0002149
ScomH1c01g0002173	ScomH2c01g0002151
ScomH1c01g0002174	ScomH2c01g0002152
ScomH1c01g0002175	ScomH2c01g0002153
ScomH1c01g0002177	ScomH2c01g0002154
ScomH1c01g0002179	ScomH2c01g0002155
ScomH1c01g0002180	ScomH2c01g0002156
ScomH1c01g0002182	ScomH2c01g0002158
ScomH1c01g0002183	ScomH2c01g0002159
ScomH1c01g0002186	ScomH2c01g0002160
ScomH1c01g0002187	ScomH2c01g0002161
ScomH1c01g0002188	ScomH2c01g0002162
ScomH1c01g0002189	ScomH2c01g0002163
ScomH1c01g0002190	ScomH2c01g0002164
ScomH1c01g0002191	ScomH2c01g0002165
ScomH1c01g0002194	ScomH2c01g0002167
ScomH1c01g0002195	ScomH2c01g0002168
ScomH1c01g0002196	ScomH2c01g0002169
ScomH1c01g0002197	ScomH2c01g0002170
ScomH1c01g0002198	ScomH2c01g0002171
ScomH1c01g0002199	ScomH2c01g0002172
ScomH1c01g0002200	ScomH2c01g0002173
ScomH1c01g0002201	ScomH2c01g0002174
ScomH1c01g0002203	ScomH2c01g0002176
ScomH1c01g0002207	ScomH2c01g0002178
ScomH1c01g0002208	ScomH2c01g0002179
ScomH1c01g0002211	ScomH2c01g0002182
ScomH1c01g0002212	ScomH2c01g0002183
ScomH1c01g0002214	ScomH2c01g0002185
ScomH1c01g0002215	ScomH2c01g0002186
ScomH1c01g0002217	ScomH2c01g0002188
ScomH1c01g0002218	ScomH2c01g0002189
ScomH1c01g0002219	ScomH2c01g0002190
ScomH1c01g0002220	ScomH2c01g0002194
ScomH1c01g0002221	ScomH2c01g0002195
ScomH1c01g0002222	ScomH2c01g0002196
ScomH1c01g0002223	ScomH2c01g0002197
ScomH1c01g0002224	ScomH2c01g0002198
ScomH1c01g0002225	ScomH2c01g0002199
ScomH1c01g0002227	ScomH2c01g0002201
ScomH1c01g0002228	ScomH2c01g0002202
ScomH1c01g0002229	ScomH2c01g0002203
ScomH1c01g0002230	ScomH2c01g0002204
ScomH1c01g0002231	ScomH2c01g0002205
ScomH1c01g0002232	ScomH2c01g0002207
ScomH1c01g0002233	ScomH2c01g0002208
ScomH1c01g0002234	ScomH2c01g0002209
ScomH1c01g0002235	ScomH2c01g0002210
ScomH1c01g0002236	ScomH2c01g0002211
ScomH1c01g0002237	ScomH2c01g0002212
ScomH1c01g0002238	ScomH2c01g0002213
ScomH1c01g0002239	ScomH2c01g0002214
ScomH1c01g0002240	ScomH2c01g0002216
ScomH1c01g0002242	ScomH2c01g0002218
ScomH1c01g0002243	ScomH2c01g0002219
ScomH1c01g0002244	ScomH2c01g0002220
ScomH1c01g0002245	ScomH2c01g0002222
ScomH1c01g0002246	ScomH2c01g0002223
ScomH1c01g0002247	ScomH2c01g0002224
ScomH1c01g0002248	ScomH2c01g0002225
ScomH1c01g0002250	ScomH2c01g0002228
ScomH1c01g0002254	ScomH2c01g0002230
ScomH1c01g0002256	ScomH2c01g0002232
ScomH1c01g0002257	ScomH2c01g0002235
ScomH1c01g0002261	ScomH2c01g0002239
ScomH1c01g0002264	ScomH2c01g0002240
ScomH1c01g0002267	ScomH2c01g0002243
ScomH1c01g0002268	ScomH2c01g0002244
ScomH1c01g0002269	ScomH2c01g0002245
ScomH1c01g0002270	ScomH2c01g0002246
ScomH1c01g0002271	ScomH2c01g0002247
ScomH1c01g0002273	ScomH2c01g0002248
ScomH1c01g0002276	ScomH2c01g0002251
ScomH1c01g0002277	ScomH2c01g0002252
ScomH1c01g0002280	ScomH2c01g0002253
ScomH1c01g0002281	ScomH2c01g0002254
ScomH1c01g0002282	ScomH2c01g0002255
ScomH1c01g0002283	ScomH2c01g0002256
ScomH1c01g0002284	ScomH2c01g0002257
ScomH1c01g0002285	ScomH2c01g0002258
ScomH1c01g0002286	ScomH2c01g0002259
ScomH1c01g0002287	ScomH2c01g0002260
ScomH1c01g0002288	ScomH2c01g0002261
ScomH1c01g0002289	ScomH2c01g0002262
ScomH1c01g0002290	ScomH2c01g0002263
ScomH1c01g0002292	ScomH2c01g0002264
ScomH1c01g0002294	ScomH2c01g0002267
ScomH1c01g0002295	ScomH2c01g0002268
ScomH1c01g0002296	ScomH2c01g0002269
ScomH1c01g0002297	ScomH2c01g0002270
ScomH1c01g0002298	ScomH2c01g0002271
ScomH1c01g0002299	ScomH2c01g0002272
ScomH1c01g0002301	ScomH2c01g0002274
ScomH1c01g0002304	ScomH2c01g0002277
ScomH1c01g0002305	ScomH2c01g0002278
ScomH1c01g0002308	ScomH2c01g0002282
ScomH1c01g0002309	ScomH2c01g0002283
ScomH1c01g0002310	ScomH2c01g0002285
ScomH1c01g0002312	ScomH2c01g0002287
ScomH1c01g0002314	ScomH2c01g0002289
ScomH1c01g0002315	ScomH2c01g0002290
ScomH1c01g0002317	ScomH2c01g0002292
ScomH1c01g0002319	ScomH2c01g0002293
ScomH1c01g0002320	ScomH2c01g0002294
ScomH1c01g0002322	ScomH2c01g0002297
ScomH1c01g0002327	ScomH2c01g0002301
ScomH1c01g0002330	ScomH2c01g0002304
ScomH1c01g0002331	ScomH2c01g0002305
ScomH1c01g0002332	ScomH2c01g0002306
ScomH1c01g0002333	ScomH2c01g0002307
ScomH1c01g0002334	ScomH2c01g0002308
ScomH1c01g0002335	ScomH2c01g0002309
ScomH1c01g0002336	ScomH2c01g0002310
ScomH1c01g0002338	ScomH2c01g0002312
ScomH1c01g0002339	ScomH2c01g0002313
ScomH1c01g0002340	ScomH2c01g0002314
ScomH1c01g0002341	ScomH2c01g0002315
ScomH1c01g0002342	ScomH2c01g0002316
ScomH1c01g0002343	ScomH2c01g0002317
ScomH1c01g0002344	ScomH2c01g0002318
ScomH1c01g0002345	ScomH2c01g0002319
ScomH1c01g0002346	ScomH2c01g0002320
ScomH1c01g0002348	ScomH2c01g0002321
ScomH1c01g0002349	ScomH2c01g0002322
ScomH1c01g0002351	ScomH2c01g0002323
ScomH1c01g0002352	ScomH2c01g0002324
ScomH1c01g0002358	ScomH2c01g0002325
ScomH1c01g0002360	ScomH2c01g0002330
ScomH1c01g0002361	ScomH2c01g0002331
ScomH1c01g0002365	ScomH2c01g0002334
ScomH1c01g0002366	ScomH2c01g0002335
ScomH1c01g0002367	ScomH2c01g0002336
ScomH1c01g0002368	ScomH2c01g0002337
ScomH1c01g0002369	ScomH2c01g0002338
ScomH1c01g0002370	ScomH2c01g0002339
ScomH1c01g0002371	ScomH2c01g0002340
ScomH1c01g0002372	ScomH2c01g0002341
ScomH1c01g0002373	ScomH2c01g0002342
ScomH1c01g0002374	ScomH2c01g0002343
ScomH1c01g0002376	ScomH2c01g0002345
ScomH1c01g0002379	ScomH2c01g0002346
ScomH1c01g0002380	ScomH2c01g0002347
ScomH1c01g0002381	ScomH2c01g0002348
ScomH1c01g0002382	ScomH2c01g0002349
ScomH1c01g0002383	ScomH2c01g0002350
ScomH1c01g0002384	ScomH2c01g0002351
ScomH1c01g0002385	ScomH2c01g0002352
ScomH1c01g0002387	ScomH2c01g0002353
ScomH1c01g0002388	ScomH2c01g0002354
ScomH1c01g0002389	ScomH2c01g0002355
ScomH1c01g0002390	ScomH2c01g0002356
ScomH1c01g0002391	ScomH2c01g0002357
ScomH1c01g0002392	ScomH2c01g0002358
ScomH1c01g0002393	ScomH2c01g0002359
ScomH1c01g0002395	ScomH2c01g0002360
ScomH1c01g0002398	ScomH2c01g0002362
ScomH1c01g0002399	ScomH2c01g0002363
ScomH1c01g0002404	ScomH2c01g0002364
ScomH1c01g0002405	ScomH2c01g0002365
ScomH1c01g0002406	ScomH2c01g0002366
ScomH1c01g0002407	ScomH2c01g0002367
ScomH1c01g0002409	ScomH2c01g0002369
ScomH1c01g0002410	ScomH2c01g0002370
ScomH1c01g0002411	ScomH2c01g0002371
ScomH1c01g0002412	ScomH2c01g0002372
